year,month,EU,EN,UE,UN,NE,NU,EU_Layoff,EU_Quit,EU_Other,EN_Layoff,EN_Quit,EN_Other
1978,1,.0203612,.036238801,.213055,.24152321,.038458999,.0248018,.0106781,.0026288,.0070543,.0032871999,.0138114,.019140201
1978,2,.0155657,.0310227,.27822989,.2225516,.0439406,.0260833,.0082291001,.0021784001,.0051581999,.0028419001,.0143267,.0138541
1978,3,.0128846,.028201399,.2453454,.21420901,.044652201,.0244323,.0060612001,.002113,.0047104,.0029420999,.0107883,.0144709
1978,4,.0120558,.028678499,.31038731,.2381658,.045332499,.0220723,.0059817,.0020087999,.0040652999,.0034226,.0122102,.0130457
1978,5,.0118811,.029896099,.28751469,.24218971,.044797301,.025849,.0055306,.0021096,.0042409999,.0023194,.0120445,.0155322
1978,6,.0150453,.037075698,.33630741,.2079315,.078616403,.035708901,.0064804,.0031504,.0054144999,.0022704001,.013941,.0208643
1978,7,.0166209,.0342278,.28571659,.2386542,.054823801,.0279055,.007191,.0031719999,.0062579,.0018217,.0130962,.019309901
1978,8,.0140859,.0371884,.29879701,.2459472,.047892101,.023784099,.0049649999,.0032056,.0059151999,.0023739999,.0156496,.019164801
1978,9,.0163722,.058781601,.36545181,.2433389,.066643797,.0265394,.0063175,.003705,.0063497,.0022829,.040745299,.015753301
1978,10,.0132133,.0310128,.32614759,.2257493,.0496502,.0244176,.0062794001,.0029732001,.0039607999,.0018282,.0154472,.0137373
1978,11,.014063,.034156501,.2928935,.24260519,.046011999,.023754399,.0070817,.0024019999,.0045793001,.0021216001,.0146962,.017338701
1978,12,.0129148,.0260849,.2008356,.2353092,.036110401,.019261301,.0067853001,.0017781,.0043515,.0016553,.0100313,.0143983
1979,1,.019130301,.037381198,.21862321,.2453389,.0429461,.021617001,.0099237002,.0027327,.0064738998,.0033668999,.0152716,.018742699
1979,2,.014884,.0298816,.27626339,.21884111,.0425478,.0261552,.0073728999,.0024037999,.0051074,.0024735001,.0145215,.0128867
1979,3,.0121898,.027414501,.26995349,.2100312,.045996901,.023466799,.0054879002,.0024047999,.0042971,.0022444001,.0110148,.0141553
1979,4,.0128383,.0312248,.28218001,.24883071,.042650599,.0211695,.0053250999,.00239,.0051231999,.0024091001,.0115896,.017226201
1979,5,.0120765,.032023501,.3182494,.2294341,.047158498,.023747901,.0051082,.0026387,.0043295999,.0018598,.0125383,.017625401
1979,6,.0164518,.037093502,.34357721,.22104239,.078183703,.0342802,.0065502999,.0034123,.0064892001,.003547,.0124742,.0210723
1979,7,.0155926,.032984301,.32177001,.2345895,.057034999,.0254978,.0067761,.0030203001,.0057962001,.0023648001,.0118843,.0187352
1979,8,.016172601,.0423715,.29821211,.23535889,.0519103,.025784601,.0074211,.0030495001,.0057019,.0027574999,.0190614,.0205526
1979,9,.0143454,.051957902,.3481046,.2183629,.0623064,.024777099,.0058654998,.0026918999,.0057879998,.0017474,.032909099,.0173015
1979,10,.0140394,.0310505,.30623391,.2190057,.049603801,.024096901,.0069374,.0028404,.0042617,.0015922,.0183558,.0111025
1979,11,.016425399,.033144601,.28789961,.2457844,.047351401,.0204603,.0082764002,.0030374001,.0051115002,.0030516,.0135024,.0165907
1979,12,.012196,.0265803,.2248874,.222664,.0393329,.0215353,.0065831002,.0017787,.0038343,.0019298,.0112329,.0134177
1980,1,.0209246,.035398901,.1965384,.2702049,.0405141,.0255684,.0122269,.0019103,.0067874002,.0026803,.0146978,.018020701
1980,2,.0172312,.029579399,.27530909,.2189824,.0442416,.024635799,.0091321003,.0028033,.0052958,.0026288,.0131619,.0137887
1980,3,.0138503,.0271395,.2423321,.20730481,.0428649,.022418899,.0076323999,.0023419999,.0038759001,.0029372,.0113254,.0128768
1980,4,.017189801,.0277158,.26392311,.20942891,.0394108,.022157099,.0084336996,.0024796,.0062763998,.0031196999,.0107906,.0138055
1980,5,.0194731,.031818099,.28804469,.2054079,.050130501,.029366,.0101087,.0025108999,.0068534999,.0030408001,.0142543,.014523
1980,6,.0187093,.033691701,.27433571,.177562,.062346201,.0357503,.0099283997,.0021825,.0065984,.0037106001,.0123057,.017675299
1980,7,.020100201,.030239999,.2799671,.18292721,.0539135,.029339001,.0104606,.0026990999,.0069404999,.0016905,.0114351,.0171145
1980,8,.019717,.039469,.28586501,.21676271,.0497557,.0278097,.0094314003,.0030924,.0071931998,.0024142,.0185776,.018477101
1980,9,.0171335,.051307399,.30187741,.2073704,.057178602,.025846399,.0081820004,.0025313001,.0064202002,.0026668001,.036191899,.0124487
1980,10,.0174376,.032105502,.29746261,.186382,.051196501,.027227299,.0090477997,.0026702001,.0057196999,.0017667999,.0163204,.0140183
1980,11,.0160415,.0286563,.2415593,.2030562,.0413666,.0251287,.0086816996,.0023173001,.0050424999,.0018798,.0122809,.0144956
1980,12,.0155306,.028759999,.2180398,.219428,.036931101,.021033499,.0088876998,.0015185,.0051243999,.003213,.0122815,.0132655
1981,1,.0228788,.032608598,.18939009,.2090259,.039867599,.0287371,.0128511,.0026378001,.0073898998,.0032889,.0125114,.016808299
1981,2,.0167448,.0266481,.2186534,.1982414,.036401398,.0254556,.0086891996,.0025446999,.0055109002,.0021903999,.0126016,.0118561
1981,3,.0157911,.0236766,.2412252,.1917861,.041104499,.0267465,.0080664,.0019990001,.0057255998,.0018588,.0094897998,.012328
1981,4,.0150251,.029578,.2899749,.1971762,.046987701,.023684001,.0083352998,.0019801001,.0047096,.0044958,.0114526,.0136296
1981,5,.0155729,.027950199,.2496317,.2012817,.0461221,.027527601,.0074708001,.0023713999,.0057307002,.0026106001,.0105802,.0147594
1981,6,.017647499,.0343077,.26505181,.1922434,.057383299,.035799202,.0088686999,.0022028999,.0065759001,.0035939,.0128461,.017867699
1981,7,.0179346,.032823101,.29610679,.2101693,.060669102,.0300107,.0093735,.0026829001,.0058781998,.0031568999,.0121163,.0175499
1981,8,.016655101,.034153301,.25025469,.213792,.043429699,.027021101,.0078699002,.0026584,.0061268001,.0022656999,.0149303,.016957199
1981,9,.018427599,.052316099,.27283019,.2259655,.049964301,.0286435,.0090284999,.0029932,.0064059002,.0019791999,.036684699,.0136522
1981,10,.0199029,.030373201,.2816948,.208179,.0546645,.028908599,.0103988,.0026517001,.0068524,.0025364,.0126961,.0151406
1981,11,.0205322,.0281011,.22480591,.2041368,.037032101,.0266318,.0120079,.0020246,.0064996998,.0034463,.0097142998,.0149405
1981,12,.021802999,.0268436,.19715071,.2053237,.032719001,.0224673,.013,.0017501001,.0070528002,.0042265002,.0088331997,.0137839
1982,1,.027227201,.032115798,.1815864,.212971,.038883399,.029331099,.0159749,.0023934001,.0088590002,.0043176999,.0123981,.0154
1982,2,.0192795,.026798001,.20516659,.1849446,.036076799,.030794401,.0107293,.0021766999,.0063735,.0041085999,.0114833,.0112061
1982,3,.0201333,.0237481,.2095864,.1837824,.040400401,.028608199,.0121377,.0015598,.0064357002,.0017666999,.0108593,.0111221
1982,4,.0203098,.028175199,.23341051,.1909197,.039775301,.0277615,.0118024,.0018546,.0066527999,.0036430999,.0100188,.0145132
1982,5,.018588699,.025599301,.22948,.17863099,.043108601,.032874901,.0103171,.0019862,.0062854001,.0023522,.0085201003,.0147269
1982,6,.021477601,.030532099,.2215153,.17103679,.055655699,.039221801,.0124094,.0016932,.007375,.0030507999,.0103959,.0170855
1982,7,.0237945,.0326766,.24094561,.184242,.056517899,.035627902,.0124101,.0019345999,.0094497995,.0040802001,.0096519999,.018944399
1982,8,.0205054,.034172099,.21944959,.1897992,.041478399,.03076,.0114562,.0018994,.0071498002,.0039141998,.0152548,.0150032
1982,9,.024222599,.050154202,.2448507,.18556391,.0556353,.030689601,.0136361,.002295,.0082914,.0022159,.031888898,.0160494
1982,10,.021599701,.029167401,.2105902,.17491589,.041382398,.030027701,.0136554,.0017737,.0061705001,.0035355,.0132356,.0123963
1982,11,.0224021,.025779501,.1704758,.1733616,.036944602,.028827701,.0142788,.0012269,.0068963999,.0040131002,.0097561004,.0120103
1982,12,.0207307,.025247701,.1745207,.1815263,.0319697,.029823501,.0126863,.0011564,.0068879998,.0036212001,.0084325001,.013194
1983,1,.0265799,.030298101,.15469719,.1776831,.032912999,.0289708,.0162965,.0013530999,.0089303004,.0049157999,.0104166,.0149656
1983,2,.019375499,.0242847,.1735642,.159926,.033499599,.0290088,.0121115,.0016457,.0056182998,.0033635001,.0080704996,.0128506
1983,3,.0179911,.0233177,.181861,.1580573,.035904601,.0287049,.0111175,.0017106,.005163,.004042,.0080696996,.011206
1983,4,.018112401,.0266442,.2154876,.1797038,.037727401,.029977201,.0109752,.0015709,.0055662999,.0038323,.011167,.0116449
1983,5,.015996501,.028568501,.2043477,.1738603,.040955201,.0321582,.0093302,.0014127,.0052534998,.0016731001,.0098949997,.0170005
1983,6,.0211889,.032326002,.23811141,.1720819,.065371603,.045544099,.0115647,.0021368,.0074872999,.0020705999,.0109406,.019314799
1983,7,.0196962,.028390599,.23639581,.1921462,.050067998,.031586699,.0106974,.0016582001,.0073405998,.0030660001,.0089750001,.0163495
1983,8,.019827601,.032601599,.22938339,.1891827,.041719701,.031069299,.0102108,.0024409001,.0071757999,.0029559999,.0131638,.0164818
1983,9,.0196824,.049903199,.26496631,.19967359,.057215501,.032652602,.0099155996,.0024121001,.0073547,.0021414,.032641102,.0151207
1983,10,.0175412,.0294114,.22345351,.1941203,.0436983,.0257785,.010421,.0023548,.0047654002,.0037419,.0129257,.0127438
1983,11,.0175396,.0256989,.2177093,.1931968,.039968099,.025325799,.0104181,.0017375,.005384,.0031369,.0104556,.0121065
1983,12,.0178231,.0259005,.1932743,.2070103,.036631301,.0233027,.0107409,.0016909,.0053913998,.003027,.0083462996,.0145272
1984,1,.0221189,.034985501,.186928,.215313,.038090099,.0280484,.0134625,.0022289001,.0064274999,.0041971998,.0137551,.0170331
1984,2,.018154601,.028042899,.2372499,.1894771,.042491701,.028684899,.0116389,.0021989001,.0043168999,.0029056999,.0109946,.0141426
1984,3,.0152984,.025808699,.22402699,.192035,.040201899,.026766701,.0087668002,.0015996,.0049319002,.0033922,.009443,.0129734
1984,4,.0133713,.0266266,.24451169,.19185311,.039642502,.028712001,.0074939998,.0019301,.0039472999,.0037577001,.0098161995,.0130527
1984,5,.014361,.028281501,.24814761,.19514149,.0495665,.027924201,.0066323001,.0021267,.0056019998,.0037793,.0109665,.0135358
1984,6,.017811799,.0368024,.29133469,.1981589,.071371399,.035778299,.0085709998,.0022780001,.0069627999,.0025293001,.0119778,.0222953
1984,7,.017464399,.032402199,.26846939,.2005821,.054934401,.0317601,.0090784002,.0020878001,.0062982999,.0036863,.0112798,.0174361
1984,8,.019046299,.040164601,.2773464,.21883219,.049913,.028263399,.0097455997,.0025499,.0067508002,.0026278,.020737199,.016799601
1984,9,.017160101,.045334999,.26370749,.2234163,.054623701,.028406,.0081097996,.0023904999,.0066598002,.0027389,.0281427,.0144534
1984,10,.016328501,.030267401,.26420391,.2166487,.047477201,.02881,.0090851998,.0024945999,.0047487002,.0031617,.016595099,.0105106
1984,11,.0172559,.032465599,.2448276,.23470969,.046383299,.0266538,.0101055,.0022104001,.0049401,.0040618,.0117469,.0166569
1984,12,.0148157,.0268877,.1876061,.2150308,.0392409,.0243898,.0083448002,.0016385,.0048324,.0028713001,.0133638,.0106526
1985,1,.0233218,.033314001,.1958673,.2231345,.041159399,.025986001,.0130265,.0025444999,.0077507999,.0039960998,.0123378,.016980199
1985,2,.0183481,.0304184,.2606439,.19211189,.045731898,.028054601,.0111893,.0020685,.0050903,.0039722002,.0133814,.0130648
1985,3,.0151831,.0265604,.24966981,.195907,.043168701,.0289216,.0082913004,.0018416001,.0050502,.0021156999,.0109678,.0134769
1985,4,.0156147,.0300606,.2588791,.2182201,.042962201,.0265697,.0081601003,.002023,.0054315999,.0035512999,.0109388,.0155706
1985,5,.016626,.0347104,.28224891,.2059176,.0530902,.0290596,.0085151,.002383,.0057279002,.0028129001,.0134984,.018399101
1985,6,.0184687,.035158101,.2698102,.191375,.061720699,.0366216,.0090461001,.0025807,.0068418998,.0037354,.0092006996,.022221999
1985,7,,,,,,,,,,,,
1985,8,.0180168,.037323002,.27838549,.2413903,.052038301,.026300499,.0091979001,.0027024001,.0061164,.0033988999,.016733799,.0171903
1985,9,.017801,.045990299,.29496819,.21012001,.0578399,.0280945,.0088376999,.0022604,.0067028999,.0014504,.026787801,.0177521
1985,10,,,,,,,,,,,,
1985,11,.017344,.030045301,.25161529,.23804671,.042194199,.02537,.0099061001,.0020234,.0054144999,.0020796,.0136336,.0143321
1985,12,.014276,.0237648,.1971646,.2076972,.036835,.021318199,.0087042004,.0015292,.0040425998,.002021,.0086919004,.0130518
1986,1,.021479599,.035746802,.23229019,.2443703,.044902399,.0251991,.0124144,.0028688,.0061964002,.0029785,.0127046,.0200637
1986,2,.0172699,.0262313,.22647271,.2013611,.0405734,.029791901,.0095894001,.0022487999,.0054317,.0023193001,.0089039002,.0150081
1986,3,.0158558,.025960101,.2408607,.1891412,.0451793,.0269727,.0083966004,.0023926001,.0050666002,.0032263,.010564,.0121698
1986,4,.0147648,.027546201,.26325631,.212778,.041418001,.026706699,.0079640998,.0026112001,.0041894,.0035746,.0113788,.0125928
1986,5,.0171635,.0303877,.271911,.19930281,.052296702,.027625199,.0088515002,.0024588001,.0058531999,.0033445,.0103907,.0166525
1986,6,.016420599,.0303795,.2763398,.1775488,.064695001,.035124902,.0084646996,.0023233001,.0056325002,.0042313002,.0075117,.0186365
1986,7,.017521599,.029838899,.2590619,.2172229,.057047699,.028743301,.0080763996,.0031139001,.0063311998,.0022694999,.0120959,.0154736
1986,8,.0166538,.037237901,.2861222,.21650469,.0492828,.025494499,.0079675997,.0027960001,.0058901999,.0028998,.0156108,.018727301
1986,9,.0159388,.0469606,.26932749,.2179379,.053241901,.027324099,.0075468002,.0029926,.0053993999,.0015074,.031012701,.0144405
1986,10,.01746,.029154399,.28250539,.20802329,.0514648,.024545699,.0095229,.0031417001,.0047954,.0023227001,.0154148,.0114169
1986,11,.016533,.027424799,.2459031,.2118652,.0428323,.0249805,.0089501003,.0025450001,.0050379001,.0022775,.0111261,.0140212
1986,12,.015778501,.0254132,.2342227,.2106041,.038993601,.018510601,.0091215996,.0022124001,.0044445,.0031504999,.0092566004,.0130061
1987,1,.0206066,.032570001,.22210149,.20301241,.040767301,.027016301,.0116642,.0028112,.0061312001,.0043672002,.0124575,.0157454
1987,2,.016553801,.024181001,.2384045,.1992979,.040901899,.024945101,.0092086,.0024871,.0048580999,.0030350999,.0093914997,.0117544
1987,3,.0154065,.023706701,.24722309,.19989289,.0443528,.024494199,.0082206,.0022715,.0049144002,.0028357999,.0091297003,.0117412
1987,4,.0135894,.030523401,.30073541,.2262934,.047240399,.025376501,.0074940999,.0020538999,.0040413998,.0032065001,.0131499,.014167
1987,5,.0135515,.0275707,.28404301,.1951697,.0503009,.0281194,.0062664999,.0020711001,.0052139,.0035234001,.0103132,.0137341
1987,6,.0151709,.0306914,.2886917,.19985829,.0636447,.030304199,.0070513999,.0023087999,.0058106999,.002171,.0111926,.0173278
1987,7,.016576599,.0311924,.32262519,.19753709,.060930502,.0277621,.0079098996,.0031355,.0055311001,.0024557,.012682,.016054699
1987,8,.0148136,.034088202,.2743305,.2097301,.049457401,.0236455,.0064051002,.002624,.0057844999,.0018898,.0152647,.0169337
1987,9,.0150878,.0468789,.30763191,.23175129,.054338899,.024912801,.0061756,.0031631,.0057490999,.0013317,.0300986,.0154486
1987,10,.0147744,.0284229,.31043199,.2035716,.056174099,.023085801,.0078756995,.0026852,.0042134998,.0024452,.0140407,.011937
1987,11,.0137493,.0285636,.25367281,.2223285,.042830002,.0212973,.0070401002,.0022541999,.0044550998,.0009167,.0127763,.0148707
1987,12,.0144618,.0264594,.24636739,.2379387,.0419898,.0190304,.0078878002,.0017472,.0048268,.0031474,.0105979,.0127141
1988,1,.019399799,.033027701,.2135243,.24426641,.0443138,.0262105,.0098091997,.0026670999,.0069236001,.0024444,.0143381,.016245199
1988,2,.0140741,.0262163,.2681416,.1919318,.045569599,.022602599,.0069427998,.0020254001,.0051059001,.0022309001,.0108955,.01309
1988,3,.0131675,.0238088,.25510171,.2065879,.0450521,.0205101,.0065370998,.0025931001,.0040373001,.0021180001,.0097169997,.0119738
1988,4,.0133832,.029574201,.33796501,.2117708,.049018402,.021971401,.0064968001,.0025335001,.0043529002,.001817,.0134142,.014343
1988,5,.0132295,.029354099,.2902776,.218541,.049369499,.024184501,.0066117002,.0022867001,.0043310998,.0040699998,.0105223,.0147618
1988,6,.0141692,.032747399,.33913451,.1959099,.075338803,.0278496,.0066347001,.0026123,.0049223001,.0023467999,.0105941,.019806501
1988,7,.0140899,.028982701,.31600419,.1933427,.0566254,.025898401,.0060639,.0027417999,.0052842,.0028295999,.0101986,.0159545
1988,8,.0136854,.031379901,.2965059,.22706521,.047688201,.022407999,.0051046,.0029527,.0056281998,.0017677,.014059,.0155532
1988,9,.0151626,.047255501,.35128,.2212463,.0582426,.0231412,.0067778002,.0034647,.0049202,.0017525,.030859601,.0146433
1988,10,.0132227,.028022399,.28993401,.240695,.050820202,.0217367,.0065786,.0028615999,.0037825999,.0030427999,.0127506,.0122291
1988,11,.0129378,.027373699,.25269699,.21333051,.047773302,.018916201,.0070161,.0021490999,.0037726001,.0022747,.0115998,.0134992
1988,12,.0130978,.0281408,.2494881,.22244699,.0408637,.0165674,.0064059999,.0023087999,.0043830001,.0044869999,.0105096,.0131442
1989,1,.018582299,.0315907,.2223177,.22241551,.046408501,.0229715,.0103587,.0029754001,.0052481,.003086,.0136929,.0148118
1989,2,.0148933,.0268372,.30368161,.2064563,.045071401,.021621499,.0082013998,.0024162999,.0042757001,.0022531,.0134274,.0111567
1989,3,.0125097,.0237574,.28718421,.2271215,.0462768,.0202913,.0060838,.0024308001,.0039951,.0016176,.0115349,.0106049
1989,4,.013152,.0275899,.2890951,.2012661,.0439419,.020787301,.0062922998,.0028623,.0039973999,.0026674999,.013691,.0112314
1989,5,.0126241,.0251662,.31005019,.22246601,.047471501,.024921499,.0056905998,.0026002,.0043333001,.0027544999,.0110431,.0113686
1989,6,.0139966,.032177199,.34588179,.2036546,.071793303,.031291898,.0065917,.0025994,.0048054,.0017705,.0102231,.0201836
1989,7,.0143111,.029024901,.3037945,.2080525,.054375701,.025011601,.0066526001,.0031446,.0045138998,.0042531001,.0092957001,.0154761
1989,8,.0125871,.0303124,.30631569,.21251,.045204598,.023446999,.0059627998,.0026884,.0039357999,.0025106999,.0159337,.011868
1989,9,.0152116,.0482332,.37266529,.2091134,.061814301,.023394899,.0064675999,.0039166999,.0048273001,.0016077,.033422001,.0132035
1989,10,.0138501,.0271255,.30702269,.21649291,.051425502,.0219789,.0068629999,.0028693001,.0041177999,.0019051,.014831,.0103894
1989,11,.016858799,.0277499,.31849509,.2171773,.049648199,.0218076,.0091851996,.0030962001,.0045774002,.0026684999,.0115133,.0135682
1989,12,.012311,.0245765,.2394361,.21467391,.0369507,.0176022,.0071052001,.0018671,.0033386999,.0024077001,.0125781,.0095907003
1990,1,.019568801,.031746499,.238087,.240926,.044389099,.023197399,.0109386,.0031103999,.0055197999,.0037348,.0131554,.0148563
1990,2,.0157299,.028661,.3304286,.19387101,.049753498,.0243019,.0086460998,.0026896,.0043942002,.0032438,.0127452,.0126719
1990,3,.0133771,.0253639,.27673069,.21205211,.049075399,.0210579,.0073162001,.0022356,.0038252,.0030199001,.0129087,.0094352998
1990,4,.0129334,.0277697,.2737225,.21789899,.044523198,.0200151,.0061753001,.0030584,.0036997001,.0025322,.0148158,.0104217
1990,5,.0126162,.02438,.29087159,.19618849,.050189599,.0238104,.0057334998,.0026716001,.0042110998,.0018943,.0123807,.0101049
1990,6,.0150243,.0312538,.34439191,.20032001,.069359697,.0294815,.0074036,.0029265999,.0046941,.0030827001,.010537,.017634099
1990,7,.0152594,.028492499,.283243,.2117952,.056994699,.024199201,.0065080998,.0031250999,.0056262002,.0035464,.0094055003,.0155406
1990,8,.015891001,.034815799,.32356051,.2184698,.0491453,.0254454,.0078062001,.0032798001,.004805,.0025271,.0174971,.0147916
1990,9,.0139496,.040386301,.2774187,.2060246,.053097501,.023478299,.0065871002,.0025696999,.0047928002,.0021522001,.025807699,.0124264
1990,10,.0146893,.0269516,.29468039,.20005611,.047217399,.022532299,.0078811999,.0025819,.0042261998,.0023957,.0117881,.0127678
1990,11,.017810101,.027699299,.2824657,.22118931,.045776699,.022280701,.0104867,.0029134999,.0044100001,.0032676,.011051,.0133807
1990,12,.0139655,.0215862,.2094394,.2027514,.0394863,.020817701,.0082079004,.0014024,.0043552001,.0021905999,.0104293,.0089662001
1991,1,.021408901,.032200798,.20206439,.2216765,.037332401,.0250415,.0132296,.0021778999,.0060013998,.0053393999,.0125849,.0142765
1991,2,.018699599,.023442101,.26890349,.1781861,.044043701,.0271006,.011555,.0022382,.0049064001,.0033749,.011223,.0088441996
1991,3,.016769901,.023130201,.2383135,.1770685,.042517401,.0233688,.0097433003,.0020812,.0049454002,.0028182999,.0101626,.0101492
1991,4,.014296,.0241958,.27390301,.18122549,.0388925,.021805,.0082855998,.0017232,.0042873002,.0031111001,.010183,.0109017
1991,5,.0160615,.028297,.2719163,.19865081,.0476931,.028049899,.0085361004,.0023046001,.0052208002,.0027397999,.0127376,.0128196
1991,6,.0153518,.0272029,.2645703,.18100999,.059684001,.036472399,.0086586,.0025809,.0041123,.0026573001,.0083192997,.016226299
1991,7,.016005101,.026412001,.2480706,.18973491,.052170899,.027192401,.0080121998,.0025708999,.0054219998,.0032446999,.0084929001,.0146743
1991,8,.016456399,.035035301,.28790629,.21117599,.047019001,.0251204,.0089194998,.0024935999,.0050434,.0026483,.0164492,.0159378
1991,9,.0155469,.037731599,.28542331,.20337909,.051899299,.027070999,.0083245998,.0025820001,.0046402002,.0016841,.024698401,.0113491
1991,10,.0154869,.0253953,.26232821,.2048565,.044232398,.024877001,.0091372002,.0020993999,.0042502,.0019612,.0115656,.0118685
1991,11,.0173648,.0254406,.25105339,.20010149,.039225101,.024765501,.0102549,.0025352,.0045746998,.0031663999,.0111134,.0111609
1991,12,.0149636,.0212743,.1833826,.2014361,.0334071,.0221221,.0091727003,.0014923,.0042985999,.0037159999,.0076839998,.0098743001
1992,1,.023019001,.029526901,.21881659,.19102409,.0430356,.028293701,.0145617,.0021988,.0062584998,.0039885999,.0120478,.0134906
1992,2,.0165271,.022205601,.2054168,.1631048,.037143301,.0271961,.0105815,.001344,.0046015,.0034179999,.0080511002,.0107365
1992,3,.014153,.0220751,.2123058,.1629943,.040630601,.0259794,.0081467004,.0018562,.0041499999,.0028593,.0089069,.0103089
1992,4,.0146183,.025273999,.252276,.1941092,.0404277,.0259219,.0085332999,.0021921999,.0038928001,.0046362998,.0095878001,.0110499
1992,5,.0149555,.0247279,.2366688,.1821184,.045352399,.031285301,.0084419996,.0018567001,.0046568001,.0030646999,.0093901996,.012273
1992,6,.016459901,.026390299,.23134281,.1680167,.0546331,.038770601,.0092407996,.0018734999,.0053456002,.0023918999,.0084209004,.0155775
1992,7,.017485499,.027829999,.27212599,.1821916,.056988701,.0331771,.0096258,.0025528001,.0053070001,.0032436,.0083181001,.0162683
1992,8,.0153133,.030742399,.2328444,.1927985,.043654699,.0272264,.0080680996,.0023878,.0048574,.0019682001,.0122202,.016554
1992,9,.016878899,.039066799,.249874,.205091,.047996402,.0273846,.0086639998,.0023018001,.0059131002,.0018621,.024156701,.013048
1992,10,.0153581,.028740101,.27377191,.19802751,.048191998,.0256665,.0088777998,.0018561,.0046242001,.0032625999,.0130404,.012437
1992,11,.0154921,.0224717,.2229652,.187737,.039558001,.0255946,.0092831999,.0021742999,.0040346002,.0030032001,.0074254,.0120431
1992,12,.0150887,.0224363,.2067731,.2033256,.035118401,.024525,.0088692997,.0018927,.0043266998,.0029185,.0057056001,.0138122
1993,1,.0200227,.030504201,.1809089,.19568869,.0384476,.027657701,.0126216,.0019598999,.0054412,.0039280001,.0099582002,.0166179
1993,2,.0146571,.024103601,.2104191,.1954975,.043929402,.028619099,.0087296003,.0022237001,.0037036999,.0040715002,.0090976004,.0109345
1993,3,.0151136,.0226855,.2254118,.183778,.0400538,.0238405,.0084327003,.0018492,.0048317001,.0025229999,.0079404004,.0122221
1993,4,.0140697,.0283984,.26879701,.1903809,.039935701,.0261428,.0075474,.0020318001,.0044904002,.0036485,.0115598,.0131902
1993,5,.0140773,.024521099,.2470776,.172456,.0478356,.028287901,.0070264,.0017342001,.0053166999,.0019105,.0089927996,.0136177
1993,6,.0150538,.024630601,.2360494,.1660246,.0575611,.035473201,.0080787996,.0022881001,.0046867998,.0026813999,.0080485996,.0139005
1993,7,.0177518,.0281156,.29114309,.19350091,.053407598,.0301299,.0092300996,.0030169,.0055048,.0024045,.0098853,.015825801
1993,8,.0143967,.0308544,.24363559,.2058197,.045767002,.025629999,.0081182001,.002018,.0042605,.0033539,.0110303,.016470199
1993,9,.015750799,.042808399,.28082591,.203328,.052745499,.026131701,.0080894995,.0026833001,.0049780998,.0023354001,.025005801,.0154672
1993,10,.0141142,.024358399,.2493639,.1978156,.044255599,.0262089,.0077729002,.0024216,.0039197998,.0020755001,.011954,.0103289
1993,11,.0142718,.023953499,.22880679,.2081818,.038858,.0229562,.0078490004,.0025237999,.0038989999,.0032136,.0096907001,.0110493
1993,12,.0144694,.022863301,.2225842,.21348441,.038083099,.022074901,.0087631,.0015131,.0041931001,.0039204,.0086875996,.0102553
1994,1,.0234141,.035166699,.2055736,.2427585,.056923401,.028864101,.0147024,.0021929999,.0065187002,.0042396998,.0133351,.017591899
1994,2,.0134855,.0256627,.2437157,.20464399,.045487098,.0298371,.0085268002,.0015210001,.0034377,.0030109,.0105235,.0121283
1994,3,.0131657,.0244588,.24730609,.21310811,.042332299,.0295961,.0077280998,.0015647,.0038727999,.0018819,.0103109,.012266
1994,4,.0144132,.0259804,.28392109,.2338509,.041748799,.0276023,.0077367001,.0020794999,.0045971,.0021089001,.0095496997,.0143218
1994,5,.0120783,.0253381,.27905959,.2392417,.045226801,.027480301,.0058837999,.001714,.0044805999,.0031926001,.0084493998,.0136961
1994,6,.015891001,.029374501,.28534779,.25308239,.063657902,.0377561,.0079428004,.0021871,.0057611,.0014893,.0103061,.0175792
1994,7,.0154963,.0277199,.28456321,.23968931,.049104799,.032341801,.0087006995,.0020789001,.0047166999,.0014391,.0088582998,.017422499
1994,8,.0145114,.031409498,.27524051,.246424,.046278998,.0299033,.0073421001,.0019739999,.0051953001,.0014515,.0150821,.014876
1994,9,.0150429,.041186601,.31772199,.2410879,.051957,.027328299,.0066058999,.0025353001,.0059016999,.00092620001,.028113499,.0121468
1994,10,.0112239,.0249584,.27016991,.23390619,.045080598,.0275671,.0056710001,.0012761001,.0042769001,.0016759,.0114138,.0118688
1994,11,.0139401,.024716901,.25004461,.25649169,.042349901,.023539999,.0076262001,.0016238,.0046902001,.0017488,.0108456,.0121225
1994,12,.0134108,.0251696,.25995111,.25388649,.039492998,.021675801,.0083836,.0011683,.0038588999,.0035601,.0076887002,.0139208
1995,1,.0204945,.030051,.231933,.25621849,.0418032,.026976001,.0125681,.001932,.0059944,.0016162,.0127739,.015660901
1995,2,.0143323,.025007101,.28732949,.229911,.0407895,.026186399,.0081796004,.0023435,.0038091999,.0020293,.0102865,.0126914
